schema	generated_utc	source_f3d_name	source_fusion_data_id	component_name	component_part_number	component_description	component_entity_token	occurrence_count	occurrence_paths	body_name	body_entity_token	body_count	direct_subcomponent_count	body_is_solid	validation_status	validation_details	component_classification	tm_bom_scope	material_name	appearance_name	bbox_x_mm	bbox_y_mm	bbox_z_mm	surface_area_mm2	volume_mm3	mass_kg	density_kg_m3	component_attributes_json	body_attributes_json
allshield.ahu.fusion-component-export.v1	2026-09-13T16:45:12.853209+00:00	2026_09_11_@_12-46-19_AHU_AIR_INLET_from_window to filter plenum		Bocht ID900 24.1 90° R=1.5D +recht 50	2026-09-07-12-59-30-010		/v4BAAEAOAEAAAAAAAAAAAAA	1	Bocht ID900 24.1 90° R=1.5D +recht 50:1	Body1	/v4BAAAARlJLZXkAH4sIAAAAAAAA/zNQsFAwAEJDBSMgBrOMLIAsQwUTkIiZwondW3cnT3Xu7dui0jE75qEYUIWRgrGZgmGKeVKyoYWlbpqRgbmuibmpqW6iRaKprqWBYWpSormJRVqKKVgt0AwGNAC2z0ABbB3IemNTAwCFGVRSiAAAAA==	1	0	YES	PASS	Exactly one solid body and no direct subcomponents.	FABRICATED_PART	TM_FABRICATION_CANDIDATE	Steel	Opaque(160,160,160)	830.6399999999999	998.87	900.0	3780881.793	5645960.614	44.320791	7850.0	[]	[]
allshield.ahu.fusion-component-export.v1	2026-09-13T16:45:12.859609+00:00	2026_09_11_@_12-46-19_AHU_AIR_INLET_from_window to filter plenum		(Unsaved)	ME-026003-V1		/v4BAAEAAwAAAAAAAAAAAAAA	0				0	14		ROOT_ASSEMBLY	Root assembly is not an orderable component.	ROOT_ASSEMBLY	NOT_AN_ORDER_ITEM										[]	[]
allshield.ahu.fusion-component-export.v1	2026-09-13T16:45:12.865608+00:00	2026_09_11_@_12-46-19_AHU_AIR_INLET_from_window to filter plenum		SpirBuis ID 900 L 4200	2026-09-07-12-59-30-009		/v4BAAEAvAAAAAAAAAAAAAAA	1	SpirBuis ID 900 L 4200:1	Body1	/v4BAAAARlJLZXkAH4sIAAAAAAAA/zNQsFAwAEJDBSMgBrOMLIAsQwUTkIiZwondW3cnT3Xu7dui0jE75qEYUIWRgrGZQpqlRXKigYmxbkqKsYGuiVmSga6lpaGFbppBkqFhWpKJuaGZGVgt0AwGNAC2z0ABbB3IeiMjMwClo2tUiAAAAA==	1	0	YES	PASS	Exactly one solid body and no direct subcomponents.	FABRICATED_PART	TM_FABRICATION_CANDIDATE	Steel	Opaque(160,160,160)	4203.03	2540.19	904.0	23814552.918	23803218.052	186.855262	7850.0	[]	[]
allshield.ahu.fusion-component-export.v1	2026-09-13T16:45:12.871746+00:00	2026_09_11_@_12-46-19_AHU_AIR_INLET_from_window to filter plenum		Component3	2026-08-29-13-34-24-545		/v4BAAEA5wAAAAAAAAAAAAAA	1	Origin machine:1+Component3:1	Body1	/v4BAAAARlJLZXkAH4sIAAAAAAAA/zNQsFAwAEJDBSMgBrOMLIAsQwUTkIiZwondW3cnT3Xu7dui0jE75qEYUIWRgrGZgkGaqUlSirGFbmKSubGuSYqppW6ioUWqrlmimVFqsrGxuWWqBVgt0AwGNAC2z0ABbB1YkZklADLt2XaIAAAA	1	0	YES	PASS	Exactly one solid body and no direct subcomponents.	FABRICATED_PART	TM_FABRICATION_CANDIDATE	Steel	Opaque(196,53,39)	600.0	600.0	1000.0	1062348.242	60213859.194	472.678795	7850.0	[]	[]
allshield.ahu.fusion-component-export.v1	2026-09-13T16:45:12.878892+00:00	2026_09_11_@_12-46-19_AHU_AIR_INLET_from_window to filter plenum		slider 900 (1)	2026-09-06-14-03-41-992_1		/v4BAAEANAIAAAAAAAAAAAAA	3	slider 900 (1):1 | slider 900 (1):2 | slider 900 (1):3	Body1	/v4BAAAARlJLZXkAH4sIAAAAAAAA/zNQsFAwAEJDBSMgBrOMLIAsQwUTkIiZwondW3cnT3Xu7dui0jE75qEYUIWRgrGZQpqFpWVikrmBboqJgZmuiaWFka5lmqWhrqFRqoWhgZFJipF5Glgt0AwGNAC2z0ABbB3IejMDIwDynpA2iAAAAA==	1	0	YES	PASS	Exactly one solid body and no direct subcomponents.	FABRICATED_PART	TM_FABRICATION_CANDIDATE	Steel	Opaque(160,160,160)	908.0	200.0	908.0	1177997.794	1191229.263	9.35115	7850.0	[]	[]
allshield.ahu.fusion-component-export.v1	2026-09-13T16:45:12.886199+00:00	2026_09_11_@_12-46-19_AHU_AIR_INLET_from_window to filter plenum		slider 900(Mirror)	2026-09-13-13-39-44-125_1		/v4BAAEAtgEAAAAAAAAAAAAA	1	slider 900(Mirror):1	Body1	/v4BAAAARlJLZXkAH4sIAAAAAAAA/zNQsFAwAEJDBSMgBrOMLIAsQwUTkIiZwondW3cnT3Xu7dui0jE75qEYUIWRgrGZgnGqcYpFWlKyrompkYWuSWqaiW6SYbKZrmGqYWJSkoVBakqyJVgt0AwGNAC2z0ABbB3IehNzMwA+FN3oiAAAAA==	1	0	YES	PASS	Exactly one solid body and no direct subcomponents.	FABRICATED_PART	TM_FABRICATION_CANDIDATE	Steel	Opaque(160,160,160)	908.0	200.0	908.0	1177997.801	1191232.364	9.351174	7850.0	[]	[]
allshield.ahu.fusion-component-export.v1	2026-09-13T16:45:19.928997+00:00	2026_09_11_@_12-46-19_AHU_AIR_INLET_from_window to filter plenum		Origin machine	2026-08-26-15-13-51-140		/v4BAAEAEQEAAAAAAAAAAAAA	1	Origin machine:1			0	1		PURCHASED_PART_EXCEPTION	Selected interactively as a purchased part during Fusion TSV export after validation: BODY_COUNT_0; DIRECT_SUBCOMPONENTS_1.	PURCHASED_PART_ASSEMBLY	MEAM_SUPPLY_EXCLUDED_FROM_TM_FABRICATION										[]	[]
allshield.ahu.fusion-component-export.v1	2026-09-13T16:45:19.935772+00:00	2026_09_11_@_12-46-19_AHU_AIR_INLET_from_window to filter plenum		flange for slider	2026-09-13-13-39-09-696		/v4BAAEACgIAAAAAAAAAAAAA	1	flange for slider:1	Body1	/v4BAAAARlJLZXkAH4sIAAAAAAAA/zNQsFAwAEJDBSMgBrOMLIAsQwUTkIiZwondW3cnT3Xu7dui0jE75qEYUIWRgrGZgkmyUZqxcYqZbqJZWpquibG5qW6SRaqpboqRkWGSWWqypYFlElgt0AwGNAC2z0ABbB3IelMzAwCSwwBeiAAAAA==	1	0	YES	PASS	Exactly one solid body and no direct subcomponents.	FABRICATED_PART	TM_FABRICATION_CANDIDATE	Steel	Opaque(160,160,160)	900.0	900.0	3.0	245584.581	341770.723	2.6829	7850.0	[]	[]
allshield.ahu.fusion-component-export.v1	2026-09-13T16:45:19.943234+00:00	2026_09_11_@_12-46-19_AHU_AIR_INLET_from_window to filter plenum		flange for slider(Mirror)	2026-09-13-18-28-53-374		/v4BAAEA4AEAAAAAAAAAAAAA	1	flange for slider(Mirror):1	Body1	/v4BAAAARlJLZXkAH4sIAAAAAAAA/zNQsFAwAEJDBSMgBrOMLIAsQwUTkIiZwondW3cnT3Xu7dui0jE75qEYUIWRgrGZglFyYophipGhrqGhuZGuSZqRga5FmmmSrrG5haGFmalJWlKyAVgt0AwGNAC2z0ABbB3IelNDCwCPoIj+iAAAAA==	1	0	YES	PASS	Exactly one solid body and no direct subcomponents.	FABRICATED_PART	TM_FABRICATION_CANDIDATE	Steel	Opaque(160,160,160)	900.0	900.0	3.0	245584.581	341770.723	2.6829	7850.0	[]	[]
allshield.ahu.fusion-component-export.v1	2026-09-13T16:45:19.949993+00:00	2026_09_11_@_12-46-19_AHU_AIR_INLET_from_window to filter plenum		Bocht ID900 R=1.5D +recht 50	2026-09-04-14-02-01-047		/v4BAAEAYgEAAAAAAAAAAAAA	1	Bocht ID900 R=1.5D +recht 50:1	Body1	/v4BAAAARlJLZXkAH4sIAAAAAAAA/zNQsFAwAEJDBSMgBrOMLIAsQwUTkIiZwondW3cnT3Xu7dui0jE75qEYUIWRgrGZgpGlebJRkpmJbpKxmamuSVKKkW6iqWWabnJaWqJlokmSeWpSClgt0AwGNAC2z0ABbB3IemNLIwAa3vQziAAAAA==	1	0	YES	PASS	Exactly one solid body and no direct subcomponents.	FABRICATED_PART	TM_FABRICATION_CANDIDATE	Steel	Opaque(160,160,160)	904.0	1372.0	1372.0	8323151.541	8311816.674	65.247761	7850.0	[]	[]
