schema	generated_utc	source_f3d_name	source_fusion_data_id	component_name	component_part_number	component_description	component_entity_token	occurrence_count	occurrence_paths	body_name	body_entity_token	body_count	direct_subcomponent_count	body_is_solid	validation_status	validation_details	component_classification	tm_bom_scope	material_name	appearance_name	bbox_x_mm	bbox_y_mm	bbox_z_mm	surface_area_mm2	volume_mm3	mass_kg	density_kg_m3	component_attributes_json	body_attributes_json
allshield.ahu.fusion-component-export.v1	2026-09-13T16:47:20.118437+00:00	2026_09_13_@_12-06-34_AHU_outlets to recuperator		Top_Bearing_15	Top_Bearing_15		/v4BAAEAOxAAAAAAAAAAAAAA	1	Louvre_Damper_1540x440_ShortSpan:1+Top_Bearing_15:1	Body1	/v4BAAAARlJLZXkAH4sIAAAAAAAA/zNQsFAwAEJDBSMgBrOMLIAsQwUTkIiZQtE0SwVFbafXTd46dVdqGkWAKowUjM0ULBJNE9OMTUx0Ey2NjHVNzFONdC0tUw11kw1MLE1MUoxMzM2NwWqBZjCgAbB9Bgpg60DWmxhaGgMAVAKux4kAAAA=	1	0	YES	PASS	Exactly one solid body and no direct subcomponents.	FABRICATED_PART	TM_FABRICATION_CANDIDATE	Steel	Opaque(36,41,46)	22.0	22.0	8.0	1386.008	2105.872	0.016531	7850.0	[]	[]
allshield.ahu.fusion-component-export.v1	2026-09-13T16:47:20.145174+00:00	2026_09_13_@_12-06-34_AHU_outlets to recuperator		Plastic_Gear_15	Plastic_Gear_15		/v4BAAEAZRAAAAAAAAAAAAAA	1	Louvre_Damper_1540x440_ShortSpan:1+Plastic_Gear_15:1	Body1	/v4BAAAARlJLZXkAH4sIAAAAAAAA/zNQsFAwAEJDBSMgBrOMLIAsQwUTkIiZQtE0SwVFbafXTd46dVdqGkWAKowUjM0UTFMSDU1S0gx1jZNTk3RNksySdJNSDCx1Tc2STQxNzSwMgQisFmgGAxoA22egALYOZL2JkbEpAIChWw+JAAAA	1	0	YES	PASS	Exactly one solid body and no direct subcomponents.	FABRICATED_PART	TM_FABRICATION_CANDIDATE	Steel	Opaque(36,41,46)	105.0	105.0	8.0	20726.919	61118.381	0.479779	7850.0	[]	[]
allshield.ahu.fusion-component-export.v1	2026-09-13T16:47:20.156928+00:00	2026_09_13_@_12-06-34_AHU_outlets to recuperator		Round_Shaft_15	Round_Shaft_15		/v4BAAEA5w8AAAAAAAAAAAAA	1	Louvre_Damper_1540x440_ShortSpan:1+Round_Shaft_15:1	Body1	/v4BAAAARlJLZXkAH4sIAAAAAAAA/zNQsFAwAEJDBSMgBrOMLIAsQwUTkIiZQtE0SwVFbafXTd46dVdqGkWAKowUjM0UUlOTLcxTUs11Dc1SzHVNTMzNdS2NjQ11jZOMjEyMzI1NEw2TwWqBZjCgAbB9Bgpg60DWmxgaWAIAOz3AN4kAAAA=	1	0	YES	PASS	Exactly one solid body and no direct subcomponents.	FABRICATED_PART	TM_FABRICATION_CANDIDATE	Steel	Opaque(110,122,138)	12.0	12.0	471.0	17982.476	53268.845	0.41816	7850.0	[]	[]
allshield.ahu.fusion-component-export.v1	2026-09-13T16:47:20.167519+00:00	2026_09_13_@_12-06-34_AHU_outlets to recuperator		Bottom_Bearing_15	Bottom_Bearing_15		/v4BAAEAERAAAAAAAAAAAAAA	1	Louvre_Damper_1540x440_ShortSpan:1+Bottom_Bearing_15:1	Body1	/v4BAAAARlJLZXkAH4sIAAAAAAAA/zNQsFAwAEJDBSMgBrOMLIAsQwUTkIiZQtE0SwVFbafXTd46dVdqGkWAKowUjM0UUs2MEhNNk5J0LY0Sk3RNDAxNdBMt01KBLLOkFEszs9TkNEuwWqAZDGgAbJ+BAtg6kPUmhqaGAPfnByeJAAAA	1	0	YES	PASS	Exactly one solid body and no direct subcomponents.	FABRICATED_PART	TM_FABRICATION_CANDIDATE	Steel	Opaque(36,41,46)	22.0	22.0	8.0	1386.008	2105.872	0.016531	7850.0	[]	[]
allshield.ahu.fusion-component-export.v1	2026-09-13T16:47:20.178810+00:00	2026_09_13_@_12-06-34_AHU_outlets to recuperator		Blade_15	Blade_15		/v4BAAEAjw8AAAAAAAAAAAAA	1	Louvre_Damper_1540x440_ShortSpan:1+Blade_15:1	Body1	/v4BAAAARlJLZXkAH4sIAAAAAAAA/zNQsFAwAEJDBSMgBrOMLIAsQwUTkIiZQtE0SwVFbafXTd46dVdqGkWAKowUjM0UUo0sTdMMUwx1kwwNknRNTEAsAzMTXSMDU5NEi2Rzc0PTNLBaoBkMaABsn4EC2DqQ9SYGRoYAW8PmJYkAAAA=	1	0	YES	PASS	Exactly one solid body and no direct subcomponents.	FABRICATED_PART	TM_FABRICATION_CANDIDATE	Steel	Opaque(204,212,219)	70.71	70.71	436.0	107815.971	487928.183	3.830236	7850.0	[]	[]
allshield.ahu.fusion-component-export.v1	2026-09-13T16:47:29.820324+00:00	2026_09_13_@_12-06-34_AHU_outlets to recuperator		Tip_Seals_15	Tip_Seals_15		/v4BAAEAuQ8AAAAAAAAAAAAA	1	Louvre_Damper_1540x440_ShortSpan:1+Tip_Seals_15:1			2	0		PURCHASED_PART_EXCEPTION	Selected interactively as a purchased part during Fusion TSV export after validation: BODY_COUNT_2.	PURCHASED_PART_ASSEMBLY	MEAM_SUPPLY_EXCLUDED_FROM_TM_FABRICATION										[]	[]
allshield.ahu.fusion-component-export.v1	2026-09-13T16:47:29.847969+00:00	2026_09_13_@_12-06-34_AHU_outlets to recuperator		Plastic_Gear_13	Plastic_Gear_13		/v4BAAEAZQ4AAAAAAAAAAAAA	1	Louvre_Damper_1540x440_ShortSpan:1+Plastic_Gear_13:1	Body1	/v4BAAAARlJLZXkAH4sIAAAAAAAA/zNQsFAwAEJDBSMgBrOMLIAsQwUTkIiZQtE0SwVFbafXTd46dVdqGkWAKowUjM0UUg1MUy0TLdN0U4yMk3RNklOSdRMtE5N0zQxSLJNMkowSE5NTwWqBZjCgAbB9Bgpg60DWG5sbGQMAfY0HM4kAAAA=	1	0	YES	PASS	Exactly one solid body and no direct subcomponents.	FABRICATED_PART	TM_FABRICATION_CANDIDATE	Steel	Opaque(36,41,46)	105.0	105.0	8.0	20726.919	61118.381	0.479779	7850.0	[]	[]
allshield.ahu.fusion-component-export.v1	2026-09-13T16:47:32.034990+00:00	2026_09_13_@_12-06-34_AHU_outlets to recuperator		Tip_Seals_13	Tip_Seals_13		/v4BAAEAuQ0AAAAAAAAAAAAA	1	Louvre_Damper_1540x440_ShortSpan:1+Tip_Seals_13:1			2	0		PURCHASED_PART_EXCEPTION	Selected interactively as a purchased part during Fusion TSV export after validation: BODY_COUNT_2.	PURCHASED_PART_ASSEMBLY	MEAM_SUPPLY_EXCLUDED_FROM_TM_FABRICATION										[]	[]
allshield.ahu.fusion-component-export.v1	2026-09-13T16:47:32.045998+00:00	2026_09_13_@_12-06-34_AHU_outlets to recuperator		Round_Shaft_13	Round_Shaft_13		/v4BAAEA5w0AAAAAAAAAAAAA	1	Louvre_Damper_1540x440_ShortSpan:1+Round_Shaft_13:1	Body1	/v4BAAAARlJLZXkAH4sIAAAAAAAA/zNQsFAwAEJDBSMgBrOMLIAsQwUTkIiZQtE0SwVFbafXTd46dVdqGkWAKowUjM0UDAzNLFOTjJN108zTDHVNUk2NdC1ME1N1k8zNDE1MTFJSLC1NwGqBZjCgAbB9Bgpg60DWG5tamgMA3lea4IkAAAA=	1	0	YES	PASS	Exactly one solid body and no direct subcomponents.	FABRICATED_PART	TM_FABRICATION_CANDIDATE	Steel	Opaque(110,122,138)	12.0	12.0	471.0	17982.476	53268.845	0.41816	7850.0	[]	[]
allshield.ahu.fusion-component-export.v1	2026-09-13T16:47:32.055828+00:00	2026_09_13_@_12-06-34_AHU_outlets to recuperator		Bottom_Bearing_13	Bottom_Bearing_13		/v4BAAEAEQ4AAAAAAAAAAAAA	1	Louvre_Damper_1540x440_ShortSpan:1+Bottom_Bearing_13:1	Body1	/v4BAAAARlJLZXkAH4sIAAAAAAAA/zNQsFAwAEJDBSMgBrOMLIAsQwUTkIiZQtE0SwVFbafXTd46dVdqGkWAKowUjM0Uki1STY2SjM11Ew0tDXVNkgwsdC3M04x0U03NLcxSk40MLdOMwGqBZjCgAbB9Bgpg60DWG5sZWwIAF5T2QIkAAAA=	1	0	YES	PASS	Exactly one solid body and no direct subcomponents.	FABRICATED_PART	TM_FABRICATION_CANDIDATE	Steel	Opaque(36,41,46)	22.0	22.0	8.0	1386.008	2105.872	0.016531	7850.0	[]	[]
