schema	generated_utc	source_f3d_name	source_fusion_data_id	component_name	component_part_number	component_description	component_entity_token	occurrence_count	occurrence_paths	body_name	body_entity_token	body_count	direct_subcomponent_count	body_is_solid	validation_status	validation_details	component_classification	tm_bom_scope	material_name	appearance_name	bbox_x_mm	bbox_y_mm	bbox_z_mm	surface_area_mm2	volume_mm3	mass_kg	density_kg_m3	component_attributes_json	body_attributes_json
allshield.ahu.fusion-component-export.v1	2026-09-13T18:07:27.411351+00:00	B plenum en filter en registerkleppen	urn:adsk.wipprod:dm.lineage:j5qMCHkERnuv-1HNgwcCLQ	inspectiemodule voor filter en onderhoud ervan	2026-09-06-14-10-55-254		/v4BAAEAvgUAAAAAAAAAAAAA	1	inspectiemodule voor filter en onderhoud ervan:1	Body1	/v4BAAAARlJLZXkAH4sIAAAAAAAA/zNQsFAwAEJDBSMgBrOMLIAsQwUTkIiZwnNbmS+GgZ5z1794+unjOpU/QBVGCsZmCqYppmaJJqkGugYpxmm6JhYGKbqJliYpumbJRqamiUkWqRaJiWC1QDMY0ADYPgMFsHUg6w1NDSwAS/MgtokAAAA=	1	0	YES	PASS	Exactly one solid body and no direct subcomponents.	FABRICATED_PART	TM_FABRICATION_CANDIDATE	Steel	Opaque(160,160,160)	1220.0	2500.0	679.0	7730760.638	7683809.275	60.317903	7850.0	[]	[]
allshield.ahu.fusion-component-export.v1	2026-09-13T18:07:28.275173+00:00	B plenum en filter en registerkleppen	urn:adsk.wipprod:dm.lineage:j5qMCHkERnuv-1HNgwcCLQ	01 Upstream / TOP slotted mounting flange	2026-09-04-11-41-18-572		/v4BAAEAEgYAAAAAAAAAAAAA	1	rollfilter met verbindingen koopdeel:1+01 Upstream / TOP slotted mounting flange:1	Body1	/v4BAAAARlJLZXkAH4sIAAAAAAAA/zNQsFAwAEJDBSMgBrOMLIAsQwUTkIiZwnNbmS+GgZ5z1794+unjOpU/QBVGCsZmCmmJBiYpKckpusaJlim6JuZJKboWyalpuqmphokmSeZmFslmhmC1QDMY0ADYPgMFsHUg6w1NLY0AX2Ptn4kAAAA=	1	0	YES	PASS	Exactly one solid body and no direct subcomponents.	FABRICATED_PART	TM_FABRICATION_CANDIDATE	Steel	Opaque(184,191,196)	1300.0	50.0	2580.0	1478685.835	14753650.459	115.816156	7850.0	[]	[]
allshield.ahu.fusion-component-export.v1	2026-09-13T18:07:31.660919+00:00	B plenum en filter en registerkleppen	urn:adsk.wipprod:dm.lineage:j5qMCHkERnuv-1HNgwcCLQ	rollfilter met verbindingen koopdeel	2026-09-04-11-41-18-569	FreeCAD Model	/v4BAAEAZgYAAAAAAAAAAAAA	1	rollfilter met verbindingen koopdeel:1			0	13		PURCHASED_PART_EXCEPTION	Selected interactively as a purchased part during Fusion TSV export after validation: BODY_COUNT_0; DIRECT_SUBCOMPONENTS_13.	PURCHASED_PART_ASSEMBLY	MEAM_SUPPLY_EXCLUDED_FROM_TM_FABRICATION										[]	[]
allshield.ahu.fusion-component-export.v1	2026-09-13T18:07:33.052861+00:00	B plenum en filter en registerkleppen	urn:adsk.wipprod:dm.lineage:j5qMCHkERnuv-1HNgwcCLQ	inlet flange	2026-09-04-13-44-37-871		/v4BAAEAPAYAAAAAAAAAAAAA	4	rollfilter met verbindingen koopdeel:1+inlet flange:1 | rollfilter met verbindingen koopdeel:1+inlet flange:2 | inlet flange:3 | inlet flange:4	Body1	/v4BAAAARlJLZXkAH4sIAAAAAAAA/zNQsFAwAEJDBSMgBrOMLIAsQwUTkIiZwnNbmS+GgZ5z1794+unjOpU/QBVGCsZmQClTw7QUAwvdZGNjS12TVEsz3cRkC2PdJMMkY0Oj1DSTtCRLsFqgGQxoAGyfgQLYOpD1hmbGJgDKB6nyiQAAAA==	1	0	YES	PASS	Exactly one solid body and no direct subcomponents.	FABRICATED_PART	TM_FABRICATION_CANDIDATE	Steel	Opaque(160,160,160)	1300.0	2580.0	5.0	679000.0	1475365.046	11.581616	7850.0	[]	[]
allshield.ahu.fusion-component-export.v1	2026-09-13T18:07:34.398943+00:00	B plenum en filter en registerkleppen	urn:adsk.wipprod:dm.lineage:j5qMCHkERnuv-1HNgwcCLQ	AIR_INLET 2026_09_07_@_15-31-18_vkr 2500x100_900_1500	2026-09-04-13-54-43-356		/v4BAAEAlAUAAAAAAAAAAAAA	1	AIR_INLET 2026_09_07_@_15-31-18_vkr 2500x100_900_1500:1	Body1	/v4BAAAARlJLZXkAH4sIAAAAAAAA/zNQsFAwAEJDBSMgBrOMLIAsQwUTkIiZwnNbmS+GgZ5z1794+unjOpU/QBVGCsZmCimWRkkmhoYWuoZmyQa6JqaWibpJSSnJuhaWaUamxommaSkpRmC1QDMY0ADYPgMFsHUg6w1NzMwAB+o6i4kAAAA=	1	0	YES	PASS	Exactly one solid body and no direct subcomponents.	FABRICATED_PART	TM_FABRICATION_CANDIDATE	Steel	Opaque(160,160,160)	1220.0	2500.0	1000.0	11751726.26	20002623.629	157.020595	7850.0	[]	[]
allshield.ahu.fusion-component-export.v1	2026-09-13T18:07:35.254805+00:00	B plenum en filter en registerkleppen	urn:adsk.wipprod:dm.lineage:j5qMCHkERnuv-1HNgwcCLQ	02 Downstream / BOTTOM slotted mounting flange	2026-09-04-11-41-18-573		/v4BAAEA6AUAAAAAAAAAAAAA	1	rollfilter met verbindingen koopdeel:1+02 Downstream / BOTTOM slotted mounting flange:1	Body1	/v4BAAAARlJLZXkAH4sIAAAAAAAA/zNQsFAwAEJDBSMgBrOMLIAsQwUTkIiZwnNbmS+GgZ5z1794+unjOpU/QBVGCsZmCmYpxikppslmuoYpiaa6JhYGibqJScbJuomGpmlplonJJhbmyWC1QDMY0ADYPgMFsHUg6w1NTQ0AgpWTYYkAAAA=	1	0	YES	PASS	Exactly one solid body and no direct subcomponents.	FABRICATED_PART	TM_FABRICATION_CANDIDATE	Steel	Opaque(184,191,196)	1300.0	50.0	2580.0	1478685.835	14753650.459	115.816156	7850.0	[]	[]
allshield.ahu.fusion-component-export.v1	2026-09-13T18:07:40.314764+00:00	B plenum en filter en registerkleppen	urn:adsk.wipprod:dm.lineage:j5qMCHkERnuv-1HNgwcCLQ	06 Actuator placeholder - visual only, replace by selected STEP(Mirror)	2026-09-04-12-51-40-201		/v4BAAEAvAAAAAAAAAAAAAAA	2	register klep 1000x1000 (1):1+06 Actuator placeholder - visual only, replace by selected STEP(Mirror):1 | register klep 1000x1000:1+06 Actuator placeholder - visual only, replace by selected STEP(Mirror):2			2	0		PURCHASED_PART_EXCEPTION	Selected interactively as a purchased part during Fusion TSV export after validation: BODY_COUNT_2.	PURCHASED_PART_ASSEMBLY	MEAM_SUPPLY_EXCLUDED_FROM_TM_FABRICATION										[]	[]
allshield.ahu.fusion-component-export.v1	2026-09-13T18:07:41.368098+00:00	B plenum en filter en registerkleppen	urn:adsk.wipprod:dm.lineage:j5qMCHkERnuv-1HNgwcCLQ	Origin machine	2026-08-26-15-13-51-140		/v4BAAEAFQEAAAAAAAAAAAAA	1	Origin machine:1			0	1		PURCHASED_PART_EXCEPTION	Selected interactively as a purchased part during Fusion TSV export after validation: BODY_COUNT_0; DIRECT_SUBCOMPONENTS_1.	PURCHASED_PART_ASSEMBLY	MEAM_SUPPLY_EXCLUDED_FROM_TM_FABRICATION										[]	[]
allshield.ahu.fusion-component-export.v1	2026-09-13T18:07:42.713699+00:00	B plenum en filter en registerkleppen	urn:adsk.wipprod:dm.lineage:j5qMCHkERnuv-1HNgwcCLQ	Component3	2026-08-29-13-34-24-545		/v4BAAEA6wAAAAAAAAAAAAAA	1	Origin machine:1+Component3:1	Body1	/v4BAAAARlJLZXkAH4sIAAAAAAAA/zNQsFAwAEJDBSMgBrOMLIAsQwUTkIiZwnNbmS+GgZ5z1794+unjOpU/QBVGCsZmCobJqaYWyWZmuuapaYm6JsnGqboWRhYGukaGiUYGximJiWlJJmC1QDMY0ADYPgMFsHUg643MjQGUMpOCiAAAAA==	1	0	YES	PASS	Exactly one solid body and no direct subcomponents.	FABRICATED_PART	TM_FABRICATION_CANDIDATE	Steel	Opaque(196,53,39)	600.0	600.0	1000.0	1062348.242	60213859.194	472.678795	7850.0	[]	[]
allshield.ahu.fusion-component-export.v1	2026-09-13T18:07:44.660724+00:00	B plenum en filter en registerkleppen	urn:adsk.wipprod:dm.lineage:j5qMCHkERnuv-1HNgwcCLQ	01 Aluminium frame - OUTSIDE 1000 x 1000 / depth 120 / face 30(Mirror)	2026-09-04-12-51-40-196		/v4BAAEAagEAAAAAAAAAAAAA	2	register klep 1000x1000 (1):1+01 Aluminium frame - OUTSIDE 1000 x 1000 / depth 120 / face 30(Mirror):1 | register klep 1000x1000:1+01 Aluminium frame - OUTSIDE 1000 x 1000 / depth 120 / face 30(Mirror):2			4	0		PURCHASED_PART_EXCEPTION	Selected interactively as a purchased part during Fusion TSV export after validation: BODY_COUNT_4.	PURCHASED_PART_ASSEMBLY	MEAM_SUPPLY_EXCLUDED_FROM_TM_FABRICATION										[]	[]
